sample interval	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
    (0.001 sec)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
              0	  0.080	  0.260	  0.180	 -0.170	 -0.050	  0.220	  0.010	  0.330	  0.488	  0.505	  0.323	  0.215
              1	  0.075	  0.255	  0.180	 -0.165	 -0.050	  0.218	  0.010	  0.325	  0.483	  0.495	  0.320	  0.215
              2	  0.070	  0.248	  0.178	 -0.158	 -0.053	  0.213	  0.010	  0.315	  0.465	  0.473	  0.308	  0.210
              3	  0.073	  0.245	  0.175	 -0.158	 -0.050	  0.210	  0.008	  0.303	  0.435	  0.448	  0.288	  0.195
              4	  0.075	  0.248	  0.173	 -0.160	 -0.048	  0.210	  0.005	  0.298	  0.423	  0.438	  0.278	  0.185
              5	  0.073	  0.240	  0.168	 -0.155	 -0.048	  0.203	  0.000	  0.298	  0.423	  0.433	  0.278	  0.185
              6	  0.063	  0.223	  0.160	 -0.143	 -0.048	  0.190	 -0.003	  0.290	  0.413	  0.415	  0.270	  0.183
              7	  0.058	  0.213	  0.155	 -0.135	 -0.048	  0.183	  0.000	  0.278	  0.398	  0.395	  0.258	  0.170
              8	  0.060	  0.213	  0.153	 -0.135	 -0.045	  0.183	  0.005	  0.273	  0.388	  0.390	  0.250	  0.163
              9	  0.063	  0.213	  0.150	 -0.138	 -0.043	  0.183	  0.008	  0.270	  0.380	  0.388	  0.243	  0.160
             10	  0.058	  0.203	  0.145	 -0.130	 -0.043	  0.173	  0.013	  0.263	  0.363	  0.368	  0.230	  0.160
             11	  0.053	  0.193	  0.140	 -0.123	 -0.043	  0.165	  0.018	  0.250	  0.345	  0.343	  0.218	  0.158
             12	  0.053	  0.193	  0.140	 -0.123	 -0.043	  0.165	  0.018	  0.243	  0.335	  0.330	  0.210	  0.150
             13	  0.055	  0.193	  0.138	 -0.123	 -0.040	  0.163	  0.015	  0.235	  0.325	  0.323	  0.203	  0.140
             14	  0.053	  0.180	  0.128	 -0.115	 -0.038	  0.153	  0.013	  0.223	  0.308	  0.303	  0.188	  0.128
             15	  0.045	  0.165	  0.120	 -0.105	 -0.038	  0.143	  0.015	  0.215	  0.295	  0.285	  0.175	  0.123
             16	  0.040	  0.160	  0.120	 -0.100	 -0.040	  0.140	  0.015	  0.213	  0.293	  0.280	  0.170	  0.128
             17	  0.040	  0.160	  0.120	 -0.098	 -0.040	  0.140	  0.013	  0.208	  0.288	  0.270	  0.165	  0.125
             18	  0.038	  0.150	  0.113	 -0.093	 -0.038	  0.130	  0.010	  0.193	  0.265	  0.243	  0.153	  0.110
             19	  0.035	  0.140	  0.105	 -0.088	 -0.035	  0.120	  0.013	  0.180	  0.245	  0.220	  0.143	  0.095
             20	  0.033	  0.138	  0.105	 -0.085	 -0.035	  0.120	  0.018	  0.180	  0.240	  0.220	  0.140	  0.095
             21	  0.033	  0.138	  0.105	 -0.085	 -0.035	  0.120	  0.018	  0.178	  0.233	  0.218	  0.133	  0.100
             22	  0.033	  0.128	  0.095	 -0.080	 -0.030	  0.110	  0.013	  0.165	  0.213	  0.195	  0.113	  0.093
             23	  0.033	  0.115	  0.083	 -0.073	 -0.025	  0.098	  0.010	  0.153	  0.195	  0.170	  0.098	  0.075
             24	  0.028	  0.108	  0.080	 -0.068	 -0.025	  0.093	  0.013	  0.150	  0.198	  0.163	  0.098	  0.068
             25	  0.020	  0.100	  0.083	 -0.060	 -0.030	  0.090	  0.020	  0.148	  0.198	  0.163	  0.098	  0.070
             26	  0.013	  0.090	  0.078	 -0.050	 -0.033	  0.083	  0.025	  0.138	  0.180	  0.145	  0.085	  0.068
